x,y,z,timestamp,x_vendor1,y_vendor1,z_vendor1,x_vendor2,y_vendor2,z_vendor2,x_diff_vendor1,y_diff_vendor1,z_diff_vendor1,x_diff_vendor2,y_diff_vendor2,z_diff_vendor2
403.4550360276674,1598.5721795808142,-12.552273391316303,2019-05-08 01:22:12,392.4550360276674,1590.5721795808142,-25.552273391316305,417.4550360276674,1612.5721795808142,-5.552273391316303,11.0,8.0,13.000000000000002,-14.0,-14.0,-7.0
403.4329495311727,1598.5636547743766,-12.553749282220512,2019-05-08 01:22:13,387.4329495311727,1589.5636547743766,-22.55374928222051,413.4329495311727,1596.5636547743766,-5.553749282220512,16.0,9.0,10.0,-10.0,2.0,-7.0
403.06279537229864,1598.7748175980712,-12.450592883945152,2019-05-08 01:22:14,373.06279537229864,1596.7748175980712,-23.450592883945152,429.06279537229864,1609.7748175980712,6.549407116054848,30.0,2.0,11.0,-26.0,-11.0,-19.0
402.39789307044913,1598.9949875822524,-11.58296230961409,2019-05-08 01:22:15,390.39789307044913,1590.9949875822524,-16.58296230961409,426.39789307044913,1597.9949875822524,7.417037690385911,12.0,8.0,5.0,-24.0,1.0,-19.0
402.212648194997,1598.7513653977194,-7.4309867732688275,2019-05-08 01:22:16,378.212648194997,1596.7513653977194,-15.430986773268828,408.212648194997,1620.7513653977194,21.569013226731172,24.0,2.0,8.0,-6.0,-22.0,-29.0
401.8488316379393,1598.5017345309989,0.7582612644433921,2019-05-08 01:22:17,393.8488316379393,1586.5017345309989,-2.241738735556608,418.8488316379393,1606.5017345309989,3.758261264443392,8.0,12.0,3.0,-17.0,-8.0,-3.0
401.5354103949542,1598.1228839562489,8.817408494501622,2019-05-08 01:22:18,385.5354103949542,1595.1228839562489,5.817408494501622,424.5354103949542,1598.1228839562489,46.81740849450162,16.0,3.0,3.0,-23.0,0.0,-38.0
401.1398095644809,1597.7813389337052,16.507405429291154,2019-05-08 01:22:19,398.1398095644809,1592.7813389337052,1.507405429291154,423.1398095644809,1625.7813389337052,30.507405429291154,3.0,5.0,15.0,-22.0,-28.0,-14.0
400.6814662230698,1597.4494121572166,24.242924929546145,2019-05-08 01:22:20,380.6814662230698,1585.4494121572166,18.242924929546145,411.6814662230698,1608.4494121572166,67.24292492954615,20.0,12.0,6.0,-11.0,-11.0,-43.0
400.05798401805674,1597.1474391610993,32.61624614303075,2019-05-08 01:22:21,399.05798401805674,1588.1474391610993,17.61624614303075,426.05798401805674,1623.1474391610993,36.61624614303075,1.0,9.0,15.0,-26.0,-26.0,-4.0
399.31722086505005,1596.9755085662334,41.899514846363004,2019-05-08 01:22:22,397.31722086505005,1591.9755085662334,31.899514846363004,425.31722086505005,1606.9755085662334,58.899514846363004,2.0,5.0,10.0,-26.0,-10.0,-17.0
398.7497844020765,1596.9233557416653,49.91859136014772,2019-05-08 01:22:23,385.7497844020765,1590.9233557416653,35.91859136014772,400.7497844020765,1611.9233557416653,67.91859136014773,13.0,6.0,14.0,-2.0,-15.0,-18.000000000000007
398.25336116373705,1596.8811836377317,57.89416392902293,2019-05-08 01:22:24,381.25336116373705,1585.8811836377317,51.89416392902293,425.25336116373705,1612.8811836377317,88.89416392902294,17.0,11.0,6.0,-27.0,-16.0,-31.000000000000007
397.9210446439785,1597.0080482475605,62.51424055515111,2019-05-08 01:22:25,385.9210446439785,1591.0080482475605,55.51424055515111,397.9210446439785,1611.0080482475605,73.5142405551511,12.0,6.0,7.0,0.0,-14.0,-10.999999999999993
397.86854031887435,1597.121887764628,63.23725749843709,2019-05-08 01:22:26,370.86854031887435,1588.121887764628,57.23725749843709,419.86854031887435,1621.121887764628,89.23725749843709,27.0,9.0,6.0,-22.0,-24.0,-26.0
397.95265787157655,1597.1038447334633,63.24178590115983,2019-05-08 01:22:27,387.95265787157655,1590.1038447334633,54.24178590115983,416.95265787157655,1619.1038447334633,82.24178590115983,10.0,7.0,9.0,-19.0,-22.0,-19.0
398.05595498859896,1596.9989617625486,63.116738214433425,2019-05-08 01:22:28,391.05595498859896,1588.9989617625486,60.116738214433425,406.05595498859896,1620.9989617625486,69.11673821443343,7.0,8.0,3.0,-8.0,-24.0,-6.0
398.0855729817498,1596.9334865160754,62.934155641833364,2019-05-08 01:22:29,389.0855729817498,1591.9334865160754,48.934155641833364,412.0855729817498,1624.9334865160754,96.93415564183337,9.0,5.0,14.0,-14.0,-28.0,-34.00000000000001
398.1250926387478,1596.9102102924726,62.76897443401836,2019-05-08 01:22:30,381.1250926387478,1592.9102102924726,57.76897443401836,406.1250926387478,1616.9102102924726,96.76897443401836,17.0,4.0,5.0,-8.0,-20.0,-34.0
398.1934117634181,1596.8786346868435,62.70994421453596,2019-05-08 01:22:31,364.1934117634181,1582.8786346868435,48.70994421453596,414.1934117634181,1616.8786346868435,110.70994421453597,34.0,14.0,14.0,-16.0,-20.0,-48.00000000000001
398.21515088033135,1596.9651766282818,62.65297185098726,2019-05-08 01:22:32,367.21515088033135,1592.9651766282818,58.65297185098726,404.21515088033135,1612.9651766282818,71.65297185098726,31.0,4.0,4.0,-6.0,-16.0,-9.0
398.3124678428986,1597.0650442235244,62.56063003302578,2019-05-08 01:22:33,368.3124678428986,1592.0650442235244,49.56063003302578,403.3124678428986,1598.0650442235244,92.56063003302577,30.0,5.0,13.0,-5.0,-1.0,-29.999999999999993
398.3979090408896,1597.137464612395,62.55717267212266,2019-05-08 01:22:34,378.3979090408896,1590.137464612395,51.55717267212266,412.3979090408896,1622.137464612395,74.55717267212266,20.0,7.0,11.0,-14.0,-25.0,-12.0
398.39571396458365,1597.180287113149,62.61808698550564,2019-05-08 01:22:35,364.39571396458365,1595.180287113149,54.61808698550564,406.39571396458365,1599.180287113149,77.61808698550564,34.0,2.0,8.0,-8.0,-2.0,-15.0
